#  Symb ;    Unic ;  #Freq ;                                   Description	  ; Symb ; arabic_algerian_pseudo_maghribi	; Symb ; arabic_amriki_typeface	; Symb ; arabic_bulaq_ii_typeface	; Symb ; arabic_bulaq_i_typeface	; Symb ; arabic_decotype_typeface	; Symb ; arabic_lotus_linotype	; Symb ; arabic_simplified_typeface	; Symb ; arabic_traditional_typeface	; Symb ; backwards_ya_typeface	; Symb ; eurarabic_i	; Symb ; ottoman_naskh_ii_typeface	; Symb ; ottoman_naskh_i_typeface	; Symb ; ottoman_turkish_naskh_i	; Symb ; ottoman_turkish_naskh_ii	; Symb ; persian_amriki	; Symb ; persian_incunabula	; Symb ; persian_intertype	; Symb ; persian_lotus_linotype_typeface	; Symb ; persian_monotype	; Symb ; persian_watts_typeface	; Symb ; russian_persian_typeface	; Symb ; urdu_naskh_typeface	; Symb ; urdu_nastaliq_typeface
    ﻣ   ;  \ufee3 ;  28682 ;               ARABIC LETTER MEEM INITIAL FORM	  ;  ﻣ   ;    252	                         ;  ﻣ   ;   1037	                ;  ﻣ   ;    905	                  ;  ﻣ   ;   3618	                 ;  ﻣ   ;    879	                  ;  ﻣ   ;    893	               ;  ﻣ   ;    796	                    ;  ﻣ   ;    966	                     ;  ﻣ   ;    521	               ;  ﻣ   ;    451	     ;  ﻣ   ;   1094	                   ;  ﻣ   ;   1361	                  ;  ﻣ   ;   1250	                 ;  ﻣ   ;    265	                  ;  ﻣ   ;     80	        ;  ﻣ   ;    320	            ;  ﻣ   ;   1027	           ;  ﻣ   ;   5528	                         ;  ﻣ   ;    943	          ;  ﻣ   ;   2175	                ;  ﻣ   ;    322	                  ;  ﻣ   ;    756	             ;  ﻣ   ;   3243
    ﻭ   ;  \ufeed ;  36495 ;               ARABIC LETTER WAW ISOLATED FORM	  ;  ﻭ   ;    326	                         ;  ﻭ   ;   1635	                ;  ﻭ   ;   1594	                  ;  ﻭ   ;   5097	                 ;  ﻭ   ;   1268	                  ;  ﻭ   ;   1060	               ;  ﻭ   ;    885	                    ;  ﻭ   ;   1205	                     ;  ﻭ   ;    552	               ;  ﻭ   ;    971	     ;  ﻭ   ;   1724	                   ;  ﻭ   ;   2273	                  ;  ﻭ   ;   1896	                 ;  ﻭ   ;    378	                  ;  ﻭ   ;    143	        ;  ﻭ   ;    333	            ;  ﻭ   ;   1167	           ;  ﻭ   ;   6070	                         ;  ﻭ   ;   1445	          ;  ﻭ   ;   2403	                ;  ﻭ   ;    489	                  ;  ﻭ   ;    713	             ;  ﻭ   ;   2868
    ﻔ   ;  \ufed4 ;   5989 ;                 ARABIC LETTER FEH MEDIAL FORM	  ;  ﻔ   ;     61	                         ;  ﻔ   ;    298	                ;  ﻔ   ;    316	                  ;  ﻔ   ;   1092	                 ;  ﻔ   ;    250	                  ;  ﻔ   ;    247	               ;  ﻔ   ;    148	                    ;  ﻔ   ;    281	                     ;  ﻔ   ;    169	               ;  ﻔ   ;    170	     ;  ﻔ   ;    361	                   ;  ﻔ   ;    376	                  ;  ﻔ   ;    142	                 ;  ﻔ   ;     43	                  ;  ﻔ   ;      9	        ;  ﻔ   ;     48	            ;  ﻔ   ;    180	           ;  ﻔ   ;    866	                         ;  ﻔ   ;    219	          ;  ﻔ   ;    358	                ;  ﻔ   ;     65	                  ;  ﻔ   ;     43	             ;  ﻔ   ;    247
    ﺡ   ;  \ufea1 ;    856 ;               ARABIC LETTER HAH ISOLATED FORM	  ;  ﺡ   ;      2	                         ;  ﺡ   ;      6	                ;  ﺡ   ;     76	                  ;  ﺡ   ;    137	                 ;  ﺡ   ;     64	                  ;  ﺡ   ;     25	               ;  ﺡ   ;     47	                    ;  ﺡ   ;     40	                     ;  ﺡ   ;     17	               ;  ﺡ   ;      8	     ;  ﺡ   ;     31	                   ;  ﺡ   ;     55	                  ;  ﺡ   ;     17	                 ;  ﺡ   ;     10	                  ;  ﺡ   ;      0	        ;  ﺡ   ;      8	            ;  ﺡ   ;     12	           ;  ﺡ   ;    144	                         ;  ﺡ   ;     11	          ;  ﺡ   ;     31	                ;  ﺡ   ;      0	                  ;  ﺡ   ;     22	             ;  ﺡ   ;     93
    ‌    ;  \u200c ;   7135 ;                         ZERO WIDTH NON-JOINER	  ;  ‌    ;      0	                         ;  ‌    ;     91	                ;  ‌    ;    423	                  ;  ‌    ;   4999	                 ;  ‌    ;      0	                  ;  ‌    ;    185	               ;  ‌    ;      0	                    ;  ‌    ;      0	                     ;  ‌    ;      0	               ;  ‌    ;      0	     ;  ‌    ;    112	                   ;  ‌    ;      4	                  ;  ‌    ;    343	                 ;  ‌    ;     69	                  ;  ‌    ;     30	        ;  ‌    ;     59	            ;  ‌    ;    386	           ;  ‌    ;    309	                         ;  ‌    ;     63	          ;  ‌    ;     32	                ;  ‌    ;     30	                  ;  ‌    ;      0	             ;  ‌    ;      0
    ﺴ   ;  \ufeb4 ;   8252 ;                ARABIC LETTER SEEN MEDIAL FORM	  ;  ﺴ   ;    126	                         ;  ﺴ   ;    239	                ;  ﺴ   ;    332	                  ;  ﺴ   ;   1098	                 ;  ﺴ   ;    225	                  ;  ﺴ   ;    251	               ;  ﺴ   ;    248	                    ;  ﺴ   ;    266	                     ;  ﺴ   ;    252	               ;  ﺴ   ;    158	     ;  ﺴ   ;    440	                   ;  ﺴ   ;    475	                  ;  ﺴ   ;    426	                 ;  ﺴ   ;     82	                  ;  ﺴ   ;     17	        ;  ﺴ   ;    118	            ;  ﺴ   ;    256	           ;  ﺴ   ;   1338	                         ;  ﺴ   ;    265	          ;  ﺴ   ;    545	                ;  ﺴ   ;    147	                  ;  ﺴ   ;    198	             ;  ﺴ   ;    750
    ﻜ   ;  \ufedc ;   3565 ;                 ARABIC LETTER KAF MEDIAL FORM	  ;  ﻜ   ;     42	                         ;  ﻜ   ;    231	                ;  ﻜ   ;    347	                  ;  ﻜ   ;    571	                 ;  ﻜ   ;    195	                  ;  ﻜ   ;    395	               ;  ﻜ   ;    143	                    ;  ﻜ   ;    226	                     ;  ﻜ   ;    106	               ;  ﻜ   ;    185	     ;  ﻜ   ;    297	                   ;  ﻜ   ;    343	                  ;  ﻜ   ;     95	                 ;  ﻜ   ;     56	                  ;  ﻜ   ;      7	        ;  ﻜ   ;      0	            ;  ﻜ   ;     67	           ;  ﻜ   ;     68	                         ;  ﻜ   ;     45	          ;  ﻜ   ;    126	                ;  ﻜ   ;      0	                  ;  ﻜ   ;     11	             ;  ﻜ   ;      9
    ﻃ   ;  \ufec3 ;   2401 ;                ARABIC LETTER TAH INITIAL FORM	  ;  ﻃ   ;     19	                         ;  ﻃ   ;     47	                ;  ﻃ   ;    122	                  ;  ﻃ   ;    272	                 ;  ﻃ   ;     97	                  ;  ﻃ   ;     46	               ;  ﻃ   ;     50	                    ;  ﻃ   ;     79	                     ;  ﻃ   ;     62	               ;  ﻃ   ;    113	     ;  ﻃ   ;     91	                   ;  ﻃ   ;     63	                  ;  ﻃ   ;    247	                 ;  ﻃ   ;     37	                  ;  ﻃ   ;      5	        ;  ﻃ   ;     18	            ;  ﻃ   ;    105	           ;  ﻃ   ;    390	                         ;  ﻃ   ;     38	          ;  ﻃ   ;    168	                ;  ﻃ   ;      3	                  ;  ﻃ   ;     98	             ;  ﻃ   ;    231
    ﺐ   ;  \ufe90 ;   3073 ;                  ARABIC LETTER BEH FINAL FORM	  ;  ﺐ   ;     23	                         ;  ﺐ   ;    132	                ;  ﺐ   ;    106	                  ;  ﺐ   ;    463	                 ;  ﺐ   ;     90	                  ;  ﺐ   ;    133	               ;  ﺐ   ;    113	                    ;  ﺐ   ;    110	                     ;  ﺐ   ;     75	               ;  ﺐ   ;     53	     ;  ﺐ   ;    160	                   ;  ﺐ   ;    142	                  ;  ﺐ   ;     97	                 ;  ﺐ   ;     18	                  ;  ﺐ   ;     15	        ;  ﺐ   ;     14	            ;  ﺐ   ;    113	           ;  ﺐ   ;    459	                         ;  ﺐ   ;     57	          ;  ﺐ   ;    235	                ;  ﺐ   ;     13	                  ;  ﺐ   ;    110	             ;  ﺐ   ;    342
    ﺢ   ;  \ufea2 ;    807 ;                  ARABIC LETTER HAH FINAL FORM	  ;  ﺢ   ;      8	                         ;  ﺢ   ;     68	                ;  ﺢ   ;     69	                  ;  ﺢ   ;    140	                 ;  ﺢ   ;     35	                  ;  ﺢ   ;     22	               ;  ﺢ   ;     35	                    ;  ﺢ   ;     36	                     ;  ﺢ   ;     21	               ;  ﺢ   ;      7	     ;  ﺢ   ;     32	                   ;  ﺢ   ;     65	                  ;  ﺢ   ;     13	                 ;  ﺢ   ;      5	                  ;  ﺢ   ;      3	        ;  ﺢ   ;      7	            ;  ﺢ   ;     42	           ;  ﺢ   ;     87	                         ;  ﺢ   ;     29	          ;  ﺢ   ;     34	                ;  ﺢ   ;      3	                  ;  ﺢ   ;      5	             ;  ﺢ   ;     41
    ﺛ   ;  \ufe9b ;   1519 ;               ARABIC LETTER THEH INITIAL FORM	  ;  ﺛ   ;     15	                         ;  ﺛ   ;     68	                ;  ﺛ   ;    133	                  ;  ﺛ   ;    285	                 ;  ﺛ   ;     54	                  ;  ﺛ   ;     39	               ;  ﺛ   ;     61	                    ;  ﺛ   ;     66	                     ;  ﺛ   ;     40	               ;  ﺛ   ;     56	     ;  ﺛ   ;    141	                   ;  ﺛ   ;    119	                  ;  ﺛ   ;     38	                 ;  ﺛ   ;     22	                  ;  ﺛ   ;      3	        ;  ﺛ   ;      3	            ;  ﺛ   ;     25	           ;  ﺛ   ;    202	                         ;  ﺛ   ;      7	          ;  ﺛ   ;     69	                ;  ﺛ   ;      0	                  ;  ﺛ   ;      6	             ;  ﺛ   ;     67
    *   ;       * ;   1312 ;                                      ASTERISK	  ;  *   ;    155	                         ;  *   ;      5	                ;  *   ;      0	                  ;  *   ;    631	                 ;  *   ;     22	                  ;  *   ;      0	               ;  *   ;      5	                    ;  *   ;      0	                     ;  *   ;      1	               ;  *   ;      5	     ;  *   ;    147	                   ;  *   ;     82	                  ;  *   ;      0	                 ;  *   ;      0	                  ;  *   ;      0	        ;  *   ;      0	            ;  *   ;      0	           ;  *   ;     83	                         ;  *   ;      0	          ;  *   ;    142	                ;  *   ;     34	                  ;  *   ;      0	             ;  *   ;      0
    ﻛ   ;  \ufedb ;   4587 ;                ARABIC LETTER KAF INITIAL FORM	  ;  ﻛ   ;     69	                         ;  ﻛ   ;    344	                ;  ﻛ   ;    399	                  ;  ﻛ   ;    601	                 ;  ﻛ   ;    273	                  ;  ﻛ   ;    258	               ;  ﻛ   ;    309	                    ;  ﻛ   ;    311	                     ;  ﻛ   ;    105	               ;  ﻛ   ;    223	     ;  ﻛ   ;    313	                   ;  ﻛ   ;    408	                  ;  ﻛ   ;    160	                 ;  ﻛ   ;    122	                  ;  ﻛ   ;      7	        ;  ﻛ   ;      1	            ;  ﻛ   ;     89	           ;  ﻛ   ;    164	                         ;  ﻛ   ;    105	          ;  ﻛ   ;    292	                ;  ﻛ   ;      0	                  ;  ﻛ   ;     27	             ;  ﻛ   ;      7
    ﺬ   ;  \ufeac ;   3778 ;                 ARABIC LETTER THAL FINAL FORM	  ;  ﺬ   ;     46	                         ;  ﺬ   ;    230	                ;  ﺬ   ;    289	                  ;  ﺬ   ;    669	                 ;  ﺬ   ;    224	                  ;  ﺬ   ;    200	               ;  ﺬ   ;    118	                    ;  ﺬ   ;    193	                     ;  ﺬ   ;    126	               ;  ﺬ   ;    116	     ;  ﺬ   ;    220	                   ;  ﺬ   ;    344	                  ;  ﺬ   ;     30	                 ;  ﺬ   ;     18	                  ;  ﺬ   ;      3	        ;  ﺬ   ;      2	            ;  ﺬ   ;     59	           ;  ﺬ   ;    221	                         ;  ﺬ   ;    489	          ;  ﺬ   ;    132	                ;  ﺬ   ;      9	                  ;  ﺬ   ;      8	             ;  ﺬ   ;     32
    ﻙ   ;  \ufed9 ;    623 ;               ARABIC LETTER KAF ISOLATED FORM	  ;  ﻙ   ;      9	                         ;  ﻙ   ;     34	                ;  ﻙ   ;     24	                  ;  ﻙ   ;    107	                 ;  ﻙ   ;     40	                  ;  ﻙ   ;     24	               ;  ﻙ   ;     43	                    ;  ﻙ   ;     21	                     ;  ﻙ   ;     14	               ;  ﻙ   ;     24	     ;  ﻙ   ;     53	                   ;  ﻙ   ;     27	                  ;  ﻙ   ;    109	                 ;  ﻙ   ;      2	                  ;  ﻙ   ;      0	        ;  ﻙ   ;     10	            ;  ﻙ   ;      3	           ;  ﻙ   ;     71	                         ;  ﻙ   ;      3	          ;  ﻙ   ;      5	                ;  ﻙ   ;      0	                  ;  ﻙ   ;      0	             ;  ﻙ   ;      0
    ﻟ   ;  \ufedf ;  40871 ;                ARABIC LETTER LAM INITIAL FORM	  ;  ﻟ   ;    558	                         ;  ﻟ   ;   2176	                ;  ﻟ   ;   2889	                  ;  ﻟ   ;   8342	                 ;  ﻟ   ;   2032	                  ;  ﻟ   ;   2282	               ;  ﻟ   ;   1954	                    ;  ﻟ   ;   2320	                     ;  ﻟ   ;   1870	               ;  ﻟ   ;   1592	     ;  ﻟ   ;   3337	                   ;  ﻟ   ;   3923	                  ;  ﻟ   ;   1330	                 ;  ﻟ   ;    242	                  ;  ﻟ   ;     20	        ;  ﻟ   ;    100	            ;  ﻟ   ;    690	           ;  ﻟ   ;   1988	                         ;  ﻟ   ;    625	          ;  ﻟ   ;    646	                ;  ﻟ   ;     36	                  ;  ﻟ   ;    284	             ;  ﻟ   ;   1635
    ﻤ   ;  \ufee4 ;  17756 ;                ARABIC LETTER MEEM MEDIAL FORM	  ;  ﻤ   ;    256	                         ;  ﻤ   ;    878	                ;  ﻤ   ;    835	                  ;  ﻤ   ;   2983	                 ;  ﻤ   ;    542	                  ;  ﻤ   ;    873	               ;  ﻤ   ;    673	                    ;  ﻤ   ;    748	                     ;  ﻤ   ;    624	               ;  ﻤ   ;    475	     ;  ﻤ   ;   1057	                   ;  ﻤ   ;   1438	                  ;  ﻤ   ;   1061	                 ;  ﻤ   ;    154	                  ;  ﻤ   ;     39	        ;  ﻤ   ;     80	            ;  ﻤ   ;    473	           ;  ﻤ   ;   2132	                         ;  ﻤ   ;    340	          ;  ﻤ   ;    926	                ;  ﻤ   ;    152	                  ;  ﻤ   ;    218	             ;  ﻤ   ;    799
    ﺟ   ;  \ufe9f ;   7904 ;               ARABIC LETTER JEEM INITIAL FORM	  ;  ﺟ   ;     61	                         ;  ﺟ   ;    183	                ;  ﺟ   ;    309	                  ;  ﺟ   ;    865	                 ;  ﺟ   ;    228	                  ;  ﺟ   ;    534	               ;  ﺟ   ;    230	                    ;  ﺟ   ;    180	                     ;  ﺟ   ;    103	               ;  ﺟ   ;    125	     ;  ﺟ   ;    276	                   ;  ﺟ   ;    325	                  ;  ﺟ   ;    318	                 ;  ﺟ   ;     55	                  ;  ﺟ   ;     16	        ;  ﺟ   ;     33	            ;  ﺟ   ;    291	           ;  ﺟ   ;   1282	                         ;  ﺟ   ;    287	          ;  ﺟ   ;    418	                ;  ﺟ   ;     81	                  ;  ﺟ   ;    343	             ;  ﺟ   ;   1361
    ﺪ   ;  \ufeaa ;  21788 ;                  ARABIC LETTER DAL FINAL FORM	  ;  ﺪ   ;    197	                         ;  ﺪ   ;    459	                ;  ﺪ   ;    718	                  ;  ﺪ   ;   2172	                 ;  ﺪ   ;    449	                  ;  ﺪ   ;    397	               ;  ﺪ   ;    632	                    ;  ﺪ   ;    578	                     ;  ﺪ   ;    578	               ;  ﺪ   ;    341	     ;  ﺪ   ;    725	                   ;  ﺪ   ;   1031	                  ;  ﺪ   ;   1775	                 ;  ﺪ   ;    354	                  ;  ﺪ   ;     83	        ;  ﺪ   ;    289	            ;  ﺪ   ;    919	           ;  ﺪ   ;   4939	                         ;  ﺪ   ;    831	          ;  ﺪ   ;   2209	                ;  ﺪ   ;    683	                  ;  ﺪ   ;    325	             ;  ﺪ   ;   1104
    ﻫ   ;  \ufeeb ;  11221 ;                ARABIC LETTER HEH INITIAL FORM	  ;  ﻫ   ;     43	                         ;  ﻫ   ;    257	                ;  ﻫ   ;    380	                  ;  ﻫ   ;   1000	                 ;  ﻫ   ;    304	                  ;  ﻫ   ;    370	               ;  ﻫ   ;    216	                    ;  ﻫ   ;    270	                     ;  ﻫ   ;    164	               ;  ﻫ   ;    204	     ;  ﻫ   ;    403	                   ;  ﻫ   ;    516	                  ;  ﻫ   ;    263	                 ;  ﻫ   ;     35	                  ;  ﻫ   ;     18	        ;  ﻫ   ;     59	            ;  ﻫ   ;    275	           ;  ﻫ   ;   1303	                         ;  ﻫ   ;    247	          ;  ﻫ   ;    529	                ;  ﻫ   ;    197	                  ;  ﻫ   ;    834	             ;  ﻫ   ;   3334
    ﺏ   ;  \ufe8f ;   3281 ;               ARABIC LETTER BEH ISOLATED FORM	  ;  ﺏ   ;     32	                         ;  ﺏ   ;    120	                ;  ﺏ   ;    123	                  ;  ﺏ   ;    460	                 ;  ﺏ   ;    122	                  ;  ﺏ   ;     32	               ;  ﺏ   ;    118	                    ;  ﺏ   ;     90	                     ;  ﺏ   ;     67	               ;  ﺏ   ;     22	     ;  ﺏ   ;    125	                   ;  ﺏ   ;    167	                  ;  ﺏ   ;    385	                 ;  ﺏ   ;     62	                  ;  ﺏ   ;      5	        ;  ﺏ   ;     20	            ;  ﺏ   ;    189	           ;  ﺏ   ;    551	                         ;  ﺏ   ;     91	          ;  ﺏ   ;    187	                ;  ﺏ   ;     16	                  ;  ﺏ   ;     99	             ;  ﺏ   ;    198
    ﭼ   ;  \ufb7c ;   2289 ;              ARABIC LETTER TCHEH INITIAL FORM	  ;  ﭼ   ;      0	                         ;  ﭼ   ;      0	                ;  ﭼ   ;      0	                  ;  ﭼ   ;      0	                 ;  ﭼ   ;      0	                  ;  ﭼ   ;      1	               ;  ﭼ   ;      0	                    ;  ﭼ   ;      0	                     ;  ﭼ   ;      0	               ;  ﭼ   ;      0	     ;  ﭼ   ;      3	                   ;  ﭼ   ;      0	                  ;  ﭼ   ;    158	                 ;  ﭼ   ;     16	                  ;  ﭼ   ;     12	        ;  ﭼ   ;     37	            ;  ﭼ   ;    166	           ;  ﭼ   ;    697	                         ;  ﭼ   ;      0	          ;  ﭼ   ;    272	                ;  ﭼ   ;    131	                  ;  ﭼ   ;    164	             ;  ﭼ   ;    632
    ﻥ   ;  \ufee5 ;  13580 ;              ARABIC LETTER NOON ISOLATED FORM	  ;  ﻥ   ;     58	                         ;  ﻥ   ;    449	                ;  ﻥ   ;    612	                  ;  ﻥ   ;   1446	                 ;  ﻥ   ;    361	                  ;  ﻥ   ;    686	               ;  ﻥ   ;    275	                    ;  ﻥ   ;    390	                     ;  ﻥ   ;    215	               ;  ﻥ   ;    202	     ;  ﻥ   ;    513	                   ;  ﻥ   ;    545	                  ;  ﻥ   ;    665	                 ;  ﻥ   ;    103	                  ;  ﻥ   ;     74	        ;  ﻥ   ;    118	            ;  ﻥ   ;    554	           ;  ﻥ   ;   3210	                         ;  ﻥ   ;    593	          ;  ﻥ   ;   1264	                ;  ﻥ   ;    408	                  ;  ﻥ   ;    178	             ;  ﻥ   ;    661
    ﺧ   ;  \ufea7 ;   6552 ;               ARABIC LETTER KHAH INITIAL FORM	  ;  ﺧ   ;     40	                         ;  ﺧ   ;    136	                ;  ﺧ   ;    240	                  ;  ﺧ   ;    577	                 ;  ﺧ   ;    177	                  ;  ﺧ   ;    102	               ;  ﺧ   ;    145	                    ;  ﺧ   ;    156	                     ;  ﺧ   ;    128	               ;  ﺧ   ;     71	     ;  ﺧ   ;    172	                   ;  ﺧ   ;    204	                  ;  ﺧ   ;    379	                 ;  ﺧ   ;     76	                  ;  ﺧ   ;     28	        ;  ﺧ   ;     98	            ;  ﺧ   ;    292	           ;  ﺧ   ;   1567	                         ;  ﺧ   ;    351	          ;  ﺧ   ;    679	                ;  ﺧ   ;    175	                  ;  ﺧ   ;    170	             ;  ﺧ   ;    589
